contract_id,content_id,studio,royalty_rate,rate_per_play,territory,start_date,end_date,tier_threshold,tier_rate,minimum_guarantees,contract_text
C0001,Show_277,Apex Studios,0.1209,0.0376,"DE,FR,JP",2024-04-09,2025-06-03,150000,0.032,9053.33,"DIGITAL LICENSE ROYALTY AGREEMENT: C0001
Title: Show_277 | Studio: Apex Studios
Authorized Territories: DE, FR, JP
Term: 2024-04-09 to 2025-06-03
Rate: $0.0376 per play. 
Tiering: After 150000 plays, rate adjustments to $0.032.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0002,Show_008,NovaPic,0.1487,0.047,"BR,CA,DE",2023-08-19,2026-04-05,200000,0.0399,17376.62,"DIGITAL LICENSE ROYALTY AGREEMENT: C0002
Title: Show_008 | Studio: NovaPic
Authorized Territories: BR, CA, DE
Term: 2023-08-19 to 2026-04-05
Rate: $0.047 per play. 
Tiering: After 200000 plays, rate adjustments to $0.0399.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0003,Music_096,StellarSound,0.0949,0.0206,"DE,FR,IN",2023-05-08,2025-06-26,75000,0.0175,4106.72,"DIGITAL LICENSE ROYALTY AGREEMENT: C0003
Title: Music_096 | Studio: StellarSound
Authorized Territories: DE, FR, IN
Term: 2023-05-08 to 2025-06-26
Rate: $0.0206 per play. 
Tiering: After 75000 plays, rate adjustments to $0.0175.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0004,Music_123,GridMedia,0.1489,0.038,"AU,CA,DE,US,IN",2023-11-27,2026-06-14,100000,0.0323,13760.62,"DIGITAL LICENSE ROYALTY AGREEMENT: C0004
Title: Music_123 | Studio: GridMedia
Authorized Territories: AU, CA, DE, US, IN
Term: 2023-11-27 to 2026-06-14
Rate: $0.038 per play. 
Tiering: After 100000 plays, rate adjustments to $0.0323.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0005,Movie_034,NeonFilms,0.105,0.0137,"DE,US",2023-06-29,2025-09-16,200000,0.0116,15710.27,"DIGITAL LICENSE ROYALTY AGREEMENT: C0005
Title: Movie_034 | Studio: NeonFilms
Authorized Territories: DE, US
Term: 2023-06-29 to 2025-09-16
Rate: $0.0137 per play. 
Tiering: After 200000 plays, rate adjustments to $0.0116.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0006,Movie_484,Apex Studios,0.1319,0.0277,"AU,CA,IN,UK,BR",2023-12-08,2025-09-28,100000,0.0235,6583.51,"DIGITAL LICENSE ROYALTY AGREEMENT: C0006
Title: Movie_484 | Studio: Apex Studios
Authorized Territories: AU, CA, IN, UK, BR
Term: 2023-12-08 to 2025-09-28
Rate: $0.0277 per play. 
Tiering: After 100000 plays, rate adjustments to $0.0235.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0007,Movie_086,NovaPic,0.147,0.0443,"DE,BR,AU,FR,US",2024-04-10,2025-06-04,100000,0.0377,11762.01,"DIGITAL LICENSE ROYALTY AGREEMENT: C0007
Title: Movie_086 | Studio: NovaPic
Authorized Territories: DE, BR, AU, FR, US
Term: 2024-04-10 to 2025-06-04
Rate: $0.0443 per play. 
Tiering: After 100000 plays, rate adjustments to $0.0377.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0008,Show_251,StellarSound,0.1115,0.0229,"FR,AU",2024-02-28,2025-03-24,150000,0.0195,21960.49,"DIGITAL LICENSE ROYALTY AGREEMENT: C0008
Title: Show_251 | Studio: StellarSound
Authorized Territories: FR, AU
Term: 2024-02-28 to 2025-03-24
Rate: $0.0229 per play. 
Tiering: After 150000 plays, rate adjustments to $0.0195.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0009,Movie_355,GridMedia,0.0988,0.0245,"IN,DE",2024-07-16,2025-11-08,150000,0.0208,16571.7,"DIGITAL LICENSE ROYALTY AGREEMENT: C0009
Title: Movie_355 | Studio: GridMedia
Authorized Territories: IN, DE
Term: 2024-07-16 to 2025-11-08
Rate: $0.0245 per play. 
Tiering: After 150000 plays, rate adjustments to $0.0208.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0010,Show_024,NeonFilms,0.1728,0.0275,"UK,DE,AU",2023-01-15,2025-06-03,150000,0.0234,5232.09,"DIGITAL LICENSE ROYALTY AGREEMENT: C0010
Title: Show_024 | Studio: NeonFilms
Authorized Territories: UK, DE, AU
Term: 2023-01-15 to 2025-06-03
Rate: $0.0275 per play. 
Tiering: After 150000 plays, rate adjustments to $0.0234.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
